id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
167145,Special apartment for loving people,796717,Nicola,Isole,San Marco,45.43528,12.33741,Entire home/apt,84,2,171,2021-07-30,1.42,1,221,12,
167168,Ca 'Barba FLAT - Rialto,214390,Alessandro,Isole,San Polo,45.439,12.3319,Entire home/apt,338,4,12,2019-01-03,0.15,4,364,0,
170523,"Wi-Fi Venice Home: only 2 persons, loving",813513,Mara,Terraferma,San Lorenzo XXV Aprile,45.49611,12.24975,Entire home/apt,49,5,184,2019-09-07,1.58,2,349,2,
175509,Guest House BELLA ONDA (3x triple),848085,Valentina,Terraferma,Tessera,45.50346,12.3262,Hotel room,134,1,35,2020-01-24,0.48,5,364,2,
184374,ARABESQUE MARRAKESH DOUBLE VENICE,716234,Paola,Isole,Castello,45.43717,12.34163,Hotel room,120,2,71,2017-06-05,0.59,3,327,0,
202466,VIVALDI CANAL VIEW - BIENNALE & VIA GARIBALDI,334601,Valentina,Isole,Castello,45.43192,12.35662,Entire home/apt,108,2,155,2019-07-12,1.29,3,356,2,
208801,Bright apartment in the heat of Venice with WIFI,1028258,Sandra,Isole,Castello,45.43798,12.33922,Entire home/apt,60,3,456,2019-11-10,3.90,2,0,0,
217591,Royal Apartments Ca' Pierre,1123859,Lorenzo,Isole,Castello,45.43561,12.34661,Entire home/apt,180,1,38,2015-10-22,0.32,1,290,0,
218393,Wi-Fi Venice Little Garden: only 1 person,813513,Mara,Terraferma,San Lorenzo XXV Aprile,45.49621,12.24804,Entire home/apt,39,5,198,2019-11-27,1.64,2,351,4,
220238,Large apartment for 4,693554,Valentina,Isole,Castello,45.43125,12.35303,Entire home/apt,153,3,214,2021-05-31,1.88,2,210,4,
234465,Sunny house Venice,1227993,Giorgio,Isole,Dorsoduro,45.43176,12.31932,Entire home/apt,110,3,42,2019-10-14,0.84,2,278,0,
236585,lovely apartment Venice Lido with terrace,1240373,Francy,Isole,Lido,45.4178,12.37249,Entire home/apt,95,3,171,2019-04-08,1.50,1,112,6,
238362,Villa aiTigli Room 1 with bathroom: up to 4 Pax,564594,Eliana,Terraferma,Tessera,45.5032,12.32058,Hotel room,66,1,81,2019-12-27,1.06,6,346,0,
238374,Villa aiTigli Room 2 with bathroom: up to 5 Pax,564594,Eliana,Terraferma,Tessera,45.5032,12.32058,Private room,66,1,100,2019-06-29,1.34,6,354,0,
238380,Villa ai Tigli - Room 3 - 3 Pax,564594,Eliana,Terraferma,Tessera,45.5032,12.32058,Private room,66,1,65,2019-11-02,0.59,6,340,1,
238383,Villa aiTigli-Room 4-Bathroom in Room-Disabilities,564594,Eliana,Terraferma,Tessera,45.5032,12.32058,Private room,66,1,86,2018-10-31,1.27,6,352,0,
238960,CA' DOLCE *stunning Channel Views* Free wi-fi :-),283131,Anunxiata,Isole,Cannaregio,45.44196,12.33683,Entire home/apt,850,3,129,2019-10-12,1.33,4,365,0,
242296,blacksmith's hearth,1271580,Adriana,Isole,Cannaregio,45.44641,12.32318,Entire home/apt,98,3,260,2019-10-10,2.28,1,352,0,
247270,Venice Apartments in Mestre,1296429,Tiziana,Terraferma,Chirignago,45.48598,12.19736,Entire home/apt,105,4,154,2019-07-28,1.52,2,341,0,
256874,"b&b S.Marco Venice, canal view room",1351366,Marco E Alice,Isole,Castello,45.43625,12.3456,Private room,106,3,25,2018-11-05,0.29,2,341,0,
260204,Conceptual Devices Apartment 2,1365288,Antonio,Isole,Cannaregio,45.44382,12.32964,Entire home/apt,85,5,156,2018-05-29,1.33,2,355,5,
260487,Waterfront Retreat in Renovated Historic Building,1366623,Ivana,Isole,Giudecca,45.42833,12.31972,Entire home/apt,123,1,314,2021-08-29,2.74,1,159,12,
261432,Rooftop Studio in Cannaregio (CDA1),1365288,Antonio,Isole,Cannaregio,45.44254,12.3293,Entire home/apt,65,5,147,2018-09-04,1.23,2,356,7,
261640,balcony canal view central Venice,1351366,Marco E Alice,Isole,Castello,45.43627,12.34559,Private room,98,3,54,2017-08-07,0.64,2,341,0,
263796,Dimora Canaletto - Casa dei Pittori,1384217,Simone - Francesco,Isole,Santa Croce,45.4392,12.32712,Entire home/apt,214,2,3,2018-06-28,0.04,7,326,0,
265406,large double room-> heart of Venice,703872,Leonardo E Irene,Isole,Cannaregio,45.44285,12.34019,Private room,71,1,461,2019-09-04,4.24,3,164,3,
268865,AltanaAlbaChiara BestViewOfVenice SANITIZED,1408761,Chiara,Isole,San Marco,45.43695,12.33552,Entire home/apt,231,3,192,2021-07-11,1.75,4,74,7,M0270421406
272585,Apartment Fiori della Laguna,1426634,Claudia,Isole,Dorsoduro,45.43112,12.3371,Entire home/apt,97,2,113,2019-10-03,1.00,1,346,3,
275264,LEONARDO stylish sunny canal view,1438903,Barbara,Isole,Cannaregio,45.44206,12.34171,Entire home/apt,137,2,46,2019-10-22,0.41,20,7,1,M0270423030
284305,CASA CLARA lots of comfort & space!,1480780,Ivo... & Family,Terraferma,Marghera,45.47799,12.22678,Entire home/apt,80,2,272,2021-08-11,2.51,1,342,5,
286350,Corte dei Santi - San Marco,1490179,Laura,Isole,San Polo,45.43818,12.32721,Entire home/apt,130,2,19,2017-12-23,0.23,3,297,0,
286388,Nice apartment in a building with a courtyard,1490179,Laura,Isole,Dorsoduro,45.43628,12.32526,Entire home/apt,80,2,67,2019-07-01,0.67,3,151,2,
286939,Corte dei Santi - San Geremia,1490179,Laura,Isole,San Polo,45.43714,12.32526,Entire home/apt,120,2,36,2015-08-07,0.37,3,304,1,
288778,"comfortable, clean Italian room",1420192,Michele,Terraferma,Santa Barbara,45.4864,12.21104,Private room,54,2,85,2017-06-09,0.81,1,364,0,
289477,"Apartment ""Venice""",377929,Attilio,Terraferma,Favaro,45.50914,12.28159,Entire home/apt,96,2,34,2019-12-25,0.34,5,23,1,M0270420062
293520,"Heart of Venice, amazing  house!",1517643,Nicola,Isole,San Polo,45.43731,12.33015,Entire home/apt,130,7,73,2019-05-22,0.87,1,327,3,
297137,Matymarty's-Central Room WI-FI,1509668,Martina,Isole,Santa Croce,45.44025,12.32499,Entire home/apt,100,1,726,2019-10-28,6.34,2,340,3,M0270421245
297417,VENICE mini-apart with garden view,1533590,Muriel,Isole,Dorsoduro,45.43255,12.32341,Entire home/apt,88,2,11,2012-10-16,0.10,1,363,0,
298479,B&B Caponi bros-Venice (private room),1514413,Abu Taleb,Terraferma,Piave 1860,45.48566,12.23433,Private room,38,1,219,2018-03-24,1.91,8,360,7,
298501,A wonderful view on Venice lagoon,1538707,Andrea,Isole,Cannaregio,45.44288,12.3377,Entire home/apt,70,3,208,2021-06-30,1.94,2,260,12,
298506,A magic flat facing Venice lagoon,1538707,Andrea,Isole,Cannaregio,45.443,12.33944,Entire home/apt,66,3,171,2019-10-03,1.64,2,321,2,
299936,B&B CA' DELLA CORTE IN VENICE,1545612,Enrica,Isole,Santa Croce,45.43676,12.32262,Entire home/apt,600,2,3,2019-05-14,0.03,3,337,0,
303040,Venice-BB-Venezia  (Deluxe room),1560575,Alessandro,Isole,Cannaregio,45.44477,12.32616,Private room,103,1,306,2020-03-09,2.91,4,39,1,
303046,Venice-BB-Venezia  (Superior room Historic center),1560575,Alessandro,Isole,Cannaregio,45.44274,12.32715,Private room,103,1,231,2019-10-31,2.00,4,36,4,
309411,Romantic view over venitian canals,1275479,Giorgia&Michele,Isole,Santa Croce,45.43925,12.32433,Entire home/apt,119,3,340,2019-11-01,3.55,2,248,1,
311472,Studioflat  near Biennale inVenice!,1602219,Alfonso,Isole,Sant'Elena,45.42849,12.36067,Private room,110,4,0,,,3,363,0,
311479,Apartment to visit Venice,1602248,Tiziana,Terraferma,Chirignago,45.48682,12.19944,Entire home/apt,105,4,120,2019-05-25,1.21,3,365,0,
313461,Sunny house in Venice,1227993,Giorgio,Isole,Dorsoduro,45.43378,12.32293,Entire home/apt,100,3,86,2018-05-04,0.84,2,278,3,
313802,Guest House BELLA ONDA (2x double),848085,Valentina,Terraferma,Tessera,45.50341,12.32574,Hotel room,93,1,123,2021-08-17,1.84,5,364,10,
314094,CA'LOMBARDO SAN MARCO VENICE CENTER,1613872,Amedeo,Isole,San Marco,45.43568,12.33909,Entire home/apt,103,2,66,2021-05-24,0.68,1,355,7,
314923,"Rooms w/ shared bathroom, 3 persons, Venice center",1617572,Silvia,Isole,Castello,45.43393,12.35402,Private room,76,1,80,2018-09-23,0.92,15,360,3,M0270425130
315636,Caponi Bros Lovely structure in Mestre-VE,1514413,Abu Taleb,Terraferma,Piave 1860,45.48566,12.23433,Private room,34,1,161,2019-10-22,1.77,8,362,4,
315637,(1)Private Room with Attached Bathroom,1514413,Abu Taleb,Terraferma,Piave 1860,45.48566,12.23433,Hotel room,44,1,114,2017-07-15,1.19,8,361,1,
317329,Venice Flat Ganeo,6747473,Giovanna,Isole,Sant'Elena,45.42659,12.36171,Entire home/apt,94,2,155,2019-09-21,1.45,1,186,1,M0270429762
321376,Magic of Venice !,1646068,Fabiano,Isole,Cannaregio,45.44507,12.32074,Entire home/apt,100,2,110,2021-08-14,1.50,4,351,5,M0270420850
331151,apartment Laura Rialto 2,1688828,Laura,Isole,Castello,45.43718,12.33836,Entire home/apt,94,2,39,2015-07-12,0.44,3,329,5,M0270420363
332932,Romantic apartment on the roofs... cod M0270429319,1445896,Chiara,Isole,Castello,45.43177,12.35309,Entire home/apt,122,4,157,2020-01-09,1.46,1,329,5,
335961,"Romantic QUEEN House,Private Garden",1364177,Ivan.Gianni,Isole,Sant'Elena,45.42619,12.36078,Entire home/apt,108,3,38,2018-07-20,0.51,2,325,0,
340882,Apt in Venice+ terrace in Castello,1729833,Alberto,Isole,Castello,45.43544,12.34718,Entire home/apt,90,3,106,2019-10-29,1.00,4,335,3,
343849,Ca' Canaletto Venetian House,669047,Views On Venice,Isole,Dorsoduro,45.43185,12.32462,Entire home/apt,303,3,23,2018-07-16,0.32,81,326,0,M0270425448
344046,small flat close to Rialto Bridge,1729833,Alberto,Isole,Cannaregio,45.43971,12.33779,Entire home/apt,21,30,92,2019-06-24,0.86,4,230,2,
346183,2960 Ca Frari ( 7 beds ) wifi. a.c.,1755160,Davide,Isole,San Polo,45.43845,12.32478,Entire home/apt,109,2,94,2019-10-04,1.53,2,333,8,
346257,CA' ZUANE - Biennale - free wi-fi - nice view,1755413,Davide,Isole,Castello,45.43015,12.3584,Entire home/apt,104,4,37,2019-08-08,0.58,3,327,0,
347347,La Terrazza by Residenza Giacomuzzi,1493787,Marta E Dario,Terraferma,San Lorenzo XXV Aprile,45.49352,12.24238,Entire home/apt,60,2,12,2012-05-26,0.10,3,35,1,
